,ItemID,WordID,Word,WordDef,SentenceID,Sentence,SentenceDef,UnitID
0,2236181,7432445,女優,【名词】女演员,1096561,彼女は中国でとても人気がある[女優]です。,她是在中国相当受欢迎的女演员。,1
1,1792138,7431610,数学,【名词】数学,1134459,[数学]の先生が休みました。,数学老师请假了。,1
2,1792139,7431938,専門,【名词】专门，专业,1133025,私の[専門]は日本語です。,我学的专业是日语。,1
3,1792141,7431367,営業課,【名词】营业科,1134461,[営業課]はどこですか。,营业科在哪儿？,1
4,1792142,7437598,市街,【名词】市内，市街，繁华街道,1133028,[市街]までだいたい３０分ぐらいです。,到市内大约三十分钟。,1
5,1792143,7494033,道路,【名词】道路，马路,1134462,ずいぶんまっすぐな[道路]ですね。,这条路很直呀！,1
6,1792144,7494034,交通量,【名词】交通流量，通行量,1134463,ここは北京で一番[交通量]が多い道路ですね。,这里是北京交通流量最多的道路。,1
7,1792145,7431370,空港,【名词】机场,1134464,[空港]へ迎えに行きます。,去机场迎接。,1
8,1792146,7431145,高速道路,【名词】高速公路,1133032,[高速道路]を利用します。,上高速公路。,1
9,1792147,7494035,部品工場,【名词】零件制造厂,1134465,あれは[部品工場]ですよ。,那个是零件制造厂哦！,1
10,1792148,7437548,エレベーター,【名词】电梯,1134466,[エレベーター]の前にいる人を知っていますか。,你认识在电梯前的那人吗？,2
11,1792149,7494036,絵本,【名词】图画书，连环画,1096550,これは子供が読む[絵本]です。,这是孩子读的图画书。,2
12,1792150,7494037,自然,【名词】大自然,1134467,[自然]が大好きです。,非常喜欢大自然。,2
13,1792151,7494038,給料,【名词】工资,1134468,[給料]が上がります。,加薪。,2
14,1792152,7494039,今夜,【名词】今天晚上,1134469,[今夜]ここに一泊しましょう。,今晚就在这住一宿吧！,2
15,1792153,7485446,けが,【名词】伤,1134470,[けが]が治りました。,伤痊愈了。,2
16,1792154,7494040,時差,【名词】时差,1134471,[時差]ぼけ,时差症,2
17,1792155,8871205,泊まる,【自动词・五段/一类】住宿。值宿。,10176518,あれは昨夜[泊まった]ホテルです。,那是昨天晚上住的宾馆。,2
18,1792156,7494042,結ぶ,【他动词・五段/一类】连接，系,1133041,これは空港と市街を[結ぶ]高速道路です。,这是连接机场和市中心的高速公路。,2
19,1792157,7494043,取る,【他动词・五段/一类】拿；取，执，握,1134472,できるだけ連絡を[取ろう]と思っています。,想尽可能与您取得联系。,2
20,2188952,7494044,生まれる,【自动词・一段/二类】出生，诞生,1134473,大発明が[うまれ]ます。,大发明诞生。,3
21,1792159,7431406,倒産,【名・自动词・サ变/三类】倒闭，破产,1134474,あの会社は[倒産]宣告をしました。,那个公司宣告破产了。,3
22,1792160,7437520,渋滞,【名・自动词・サ变/三类】堵车，停滞,1133045,このあたりはよく[渋滞]します。,这附近经常堵车。,3
23,1792161,7494045,チェック,【名・他动词・サ变/三类】确认,1134475,彼は全ての料理を[チェック]しました。,他检查了所有的菜品。,3
24,1792162,7437569,豊か,【形容动词/ナ形容词】充裕，丰富,1096611,彼女は[豊か]な暮らしをしている。,她过着条件优越的生活。,3
25,1792163,7431473,大きな,【连体词】大的,1156578,海に[大きな]島があります。,海上有一个大岛。,3
26,1792164,7431639,小さな,【连体词】小的,1096567,[小さな]子供からのお願い。,来自小孩子的请求。,3
27,1792165,6307630,別に,【副词】分开，另。（他に）。,809102,これについては、[別に]定める。,关于这点另行规定。,3
28,1792166,7431904,大雨,【名词】大雨,1135614,[大雨]が降り出しました。,下起了大雨。,3
29,1792167,7431260,桜,【名词】樱花,1133052,[桜]はきれいです。,樱花很漂亮。,3
30,2236182,7428528,習慣,【名词】习惯,1134483,日本には握手の[習慣]がないんですか。,在日本没有握手的习惯吗？,4
31,1792168,7430783,風,【名词】风,1133053,[風]が強いです。,风很大。,4
32,1792169,7432358,月,【名词】月亮,1133054,今夜の[月]はきれいですね。,今晚的月亮真漂亮啊！,4
33,1792170,7494047,表,【名词】表，表格,1134482,[表]でまとめました。,用表格进行了归纳。,4
34,1792171,7494048,握手,【名词】握手,1133056,[握手]をして、仲直りをします。,握手言和。,4
35,1792173,7494049,お辞儀,【名词】鞠躬,1133058,[お辞儀]をします。,鞠躬。,4
36,1792174,7437691,挨拶,"【名・自动词・サ变/三类】寒暄,打招呼,问好",1136871,改札口で[挨拶]します。,在检票口打招呼。,4
37,1792175,7494051,お客さん,【名词】顾客，客人,1133060,香港から[お客さん]が来るので、空港へ迎えに行きます。,有从香港来的客人，所以去机场迎接。,4
